Cell,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,,,
138,0,0,0,0,,,,,,,,,,,,,,
139,0,0,,,,,,,,,,,,,,,,
140,0,0,1,1,0,,,,,,,,,,,,,
141,0,0,1,,,,,,,,,,,,,,,
142,0,,,,,,,,,,,,,,,,,
143,1,1,1,1,1,1,,,,,,,,,,,,
144,1,1,0,0,0,0,,,,,,,,,,,,
145,0,0,0,,,,,,,,,,,,,,,
146,1,0,0,0,,,,,,,,,,,,,,
147,1,1,0,,,,,,,,,,,,,,,
148,0,1,0,0,,,,,,,,,,,,,,
149,0,1,,,,,,,,,,,,,,,,
150,1,1,1,1,0,,,,,,,,,,,,,
151,1,0,0,0,0,0,,,,,,,,,,,,
152,1,,,,,,,,,,,,,,,,,
153,1,1,1,1,,,,,,,,,,,,,,
154,Na,,,,,,,,,,,,,,,,,
155,0,1,0,0,,,,,,,,,,,,,,
156,0,0,0,0,,,,,,,,,,,,,,
157,1,1,1,1,,,,,,,,,,,,,,
158,1,0,1,0,1,,,,,,,,,,,,,
159,1,1,0,0,0,,,,,,,,,,,,,
160,1,0,1,0,0,,,,,,,,,,,,,
161,1,1,1,1,,,,,,,,,,,,,,
162,1,1,1,,,,,,,,,,,,,,,
163,1,,,,,,,,,,,,,,,,,
164,1,0,,,,,,,,,,,,,,,,
165,1,0,,,,,,,,,,,,,,,,
166,1,0,,,,,,,,,,,,,,,,
167,0,1,1,,,,,,,,,,,,,,,
168,1,1,1,1,1,,,,,,,,,,,,,
169,1,1,,,,,,,,,,,,,,,,
170,1,1,,,,,,,,,,,,,,,,
171,1,1,1,,,,,,,,,,,,,,,
172,1,,,,,,,,,,,,,,,,,
173,,,,,,,,,,,,,,,,,,
174,1,,,,,,,,,,,,,,,,,
175,,,,,,,,,,,,,,,,,,
176,,,,,,,,,,,,,,,,,,
177,,,,,,,,,,,,,,,,,,
178,1,0,,,,,,,,,,,,,,,,
179,1,1,,,,,,,,,,,,,,,,
180,1,1,1,,,,,,,,,,,,,,,
181,,,,,,,,,,,,,,,,,,
182,0,,,,,,,,,,,,,,,,,
183,0,0,,,,,,,,,,,,,,,,
184,0,0,0,0,,,,,,,,,,,,,,
185,0,,,,,,,,,,,,,,,,,
186,,,,,,,,,,,,,,,,,,
187,0,,,,,,,,,,,,,,,,,
188,0,0,,,,,,,,,,,,,,,,
189,1,1,0,,,,,,,,,,,,,,,
190,1,,,,,,,,,,,,,,,,,
191,1,1,,,,,,,,,,,,,,,,
192,1,1,1,,,,,,,,,,,,,,,
