Donor,cell_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
2,2,1,0,0,,,,,,,,,,,,,,,
2,3,1,1,1,1,0,0,,,,,,,,,,,,
2,4,1,1,1,0,,,,,,,,,,,,,,
2,5,1,,,,,,,,,,,,,,,,,
2,6,1,1,0,,,,,,,,,,,,,,,
2,7,1,1,1,1,,,,,,,,,,,,,,
2,8,0,1,1,1,1,0,0,,,,,,,,,,,
2,9,1,1,1,1,1,1,1,1,,,,,,,,,,
2,10,1,1,1,1,1,,,,,,,,,,,,,
2,11,1,1,1,1, , ,,,,,,,,,,,,
2,12,1,0,0,,,,,,,,,,,,,,,
2,13,1,1,0,,,,,,,,,,,,,,,
2,14,1,0,0,,,,,,,,,,,,,,,
2,15,1,0,0,0,0,,,,,,,,,,,,,
2,16,1,0,1,0,1,0,,,,,,,,,,,,
2,17,1,1,0,0,0,0,,,,,,,,,,,,
2,18,1,0,1,1,,,,,,,,,,,,,,
2,19,1,0,1,1,,,,,,,,,,,,,,
2,20,1,1,1,,,,,,,,,,,,,,,
2,21,0,1,1,,,,,,,,,,,,,,,
2,22,1,0,,,,,,,,,,,,,,,,
2,23,1,1,0,1,0,0,,,,,,,,,,,,
2,24,1,0,0,1,,,,,,,,,,,,,,
2,25,1,1,1,1,1,,,,,,,,,,,,,
2,26,1,1,1,0,,,,,,,,,,,,,,
2,27,1,1,1,0,,,,,,,,,,,,,,
2,28,1,1,1,1,1,1,1,1,,,,,,,,,,
2,29,1,1,1,0,0,1,,,,,,,,,,,,
2,30,0,0,0,,,,,,,,,,,,,,,
2,31,1,,,,,,,,,,,,,,,,,
2,32,0,0,0,0,,,,,,,,,,,,,,
2,33,1,0,0,0,,,,,,,,,,,,,,
2,34,1,1,,,,,,,,,,,,,,,,
2,35,1,1,1,,,,,,,,,,,,,,,
2,36,1,1,1,,,,,,,,,,,,,,,
2,37,0,0,0,0,0,1,,,,,,,,,,,,
2,38,1,1,,,,,,,,,,,,,,,,
2,39,1,1,1,1,1,,,,,,,,,,,,,
2,40,1,1,1,,,,,,,,,,,,,,,
2,41,1,1,0,,,,,,,,,,,,,,,
2,42,0,,,,,,,,,,,,,,,,,
2,43,0,1,1,1,1,,,,,,,,,,,,,
2,44,1,1,1,0,1,,,,,,,,,,,,,
2,45,1,1,1,0,1,0,1,1,0,,,,,,,,,
2,46,1,0,,,,,,,,,,,,,,,,
