Cell,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,,,
137,0,,,,,,,,,,,,,,,,,
138,0,1,1,1,,,,,,,,,,,,,,
139,1,,,,,,,,,,,,,,,,,
140,0,1,0,,,,,,,,,,,,,,,
141,1,,,,,,,,,,,,,,,,,
142,1,1,1,1,0,0,,,,,,,,,,,,
143,0,,,,,,,,,,,,,,,,,
144,1,0,,,,,,,,,,,,,,,,
145,,,,,,,,,,,,,,,,,,
146,,,,,,,,,,,,,,,,,,
147,1,0,0,1,,,,,,,,,,,,,,
148,1,,,,,,,,,,,,,,,,,
149,,,,,,,,,,,,,,,,,,
150,1,0,,,,,,,,,,,,,,,,
151,1,1,1,1,,,,,,,,,,,,,,
152,1,,,,,,,,,,,,,,,,,
153,1,1,,,,,,,,,,,,,,,,
154,1,1,,,,,,,,,,,,,,,,
155,1,1,1,,,,,,,,,,,,,,,
156,0,1,,,,,,,,,,,,,,,,
157,1,1,,,,,,,,,,,,,,,,
158,1,1,1,0,0,,,,,,,,,,,,,
159,1,1,1,1,,,,,,,,,,,,,,
160,0,0,0,0,0,0,0,0,,,,,,,,,,
161,1,,,,,,,,,,,,,,,,,
162,1,,,,,,,,,,,,,,,,,
163,1,0,,,,,,,,,,,,,,,,
164,1,1,0,,,,,,,,,,,,,,,
165,0,,,,,,,,,,,,,,,,,
166,1,1,1,0,,,,,,,,,,,,,,
167,0,1,1,,,,,,,,,,,,,,,
168,1,1,0,0,,,,,,,,,,,,,,
169,0,1,,,,,,,,,,,,,,,,
170,1,1,,,,,,,,,,,,,,,,
171,1,1,,,,,,,,,,,,,,,,
172,1,,,,,,,,,,,,,,,,,
173,1,,,,,,,,,,,,,,,,,
174,0,,,,,,,,,,,,,,,,,
175,1,,,,,,,,,,,,,,,,,
176,0,0,,,,,,,,,,,,,,,,
177,,,,,,,,,,,,,,,,,,
178,,,,,,,,,,,,,,,,,,
179,1,,,,,,,,,,,,,,,,,
180,1,1,,,,,,,,,,,,,,,,
181,1,0,0,,,,,,,,,,,,,,,
182,,,,,,,,,,,,,,,,,,
183,1,1,,,,,,,,,,,,,,,,
184,0,0,0,0,0,,,,,,,,,,,,,
185,1,,,,,,,,,,,,,,,,,
186,1,,,,,,,,,,,,,,,,,
187,1,,,,,,,,,,,,,,,,,
188,1,0,,,,,,,,,,,,,,,,
189,1,,,,,,,,,,,,,,,,,
190,,,,,,,,,,,,,,,,,,
191,1,1,,,,,,,,,,,,,,,,
192,1,1,1,,,,,,,,,,,,,,,
193,1,,,,,,,,,,,,,,,,,
194,1,,,,,,,,,,,,,,,,,
195,1,,,,,,,,,,,,,,,,,
196,0,,,,,,,,,,,,,,,,,
197,1,1,,,,,,,,,,,,,,,,
198,1,0,,,,,,,,,,,,,,,,
199,0,,,,,,,,,,,,,,,,,
200,1,,,,,,,,,,,,,,,,,
201,1,,,,,,,,,,,,,,,,,
202,0,1,,,,,,,,,,,,,,,,
203,0,0,,,,,,,,,,,,,,,,
204,1,1,1,0,1,1,,,,,,,,,,,,
205,1,1,1,1,1,1,1,,,,,,,,,,,
206,1,,,,,,,,,,,,,,,,,
207,0,0,0,,,,,,,,,,,,,,,
208,0,0,0,,,,,,,,,,,,,,,
209,0,0,,,,,,,,,,,,,,,,
210,1,0,0,,,,,,,,,,,,,,,
211,1,,,,,,,,,,,,,,,,,
212,1,,,,,,,,,,,,,,,,,
213,,,,,,,,,,,,,,,,,,
214,1,1,,,,,,,,,,,,,,,,
215,,,,,,,,,,,,,,,,,,
216,1,,,,,,,,,,,,,,,,,
217,0,1,1,,,,,,,,,,,,,,,
218,0,1,1,1,,,,,,,,,,,,,,
219,1,,,,,,,,,,,,,,,,,
220,0,1,,,,,,,,,,,,,,,,
221,1,1,,,,,,,,,,,,,,,,
222,1,,,,,,,,,,,,,,,,,
223,1,1,,,,,,,,,,,,,,,,
224,,,,,,,,,,,,,,,,,,
225,1,1,,,,,,,,,,,,,,,,
226,1,1,,,,,,,,,,,,,,,,
227,1,1,,,,,,,,,,,,,,,,
228,,,,,,,,,,,,,,,,,,
229,1,,,,,,,,,,,,,,,,,
230,1,1,1,1,,,,,,,,,,,,,,
231,1,1,,,,,,,,,,,,,,,,
232,1,1,1,1,1,,,,,,,,,,,,,
233,1,1,,,,,,,,,,,,,,,,
234,0,,,,,,,,,,,,,,,,,
235,1,,,,,,,,,,,,,,,,,
236,,,,,,,,,,,,,,,,,,
237,1,,,,,,,,,,,,,,,,,
238,,,,,,,,,,,,,,,,,,
239,,,,,,,,,,,,,,,,,,
240,1,0,0,0,0,0,1,1,,,,,,,,,,
241,,,,,,,,,,,,,,,,,,
242,1,,,,,,,,,,,,,,,,,
243,1,1,,,,,,,,,,,,,,,,
244,1,1,1,,,,,,,,,,,,,,,
245,0,0,0,0,,,,,,,,,,,,,,
246,0,,,,,,,,,,,,,,,,,
247,1,1,1,1,1,,,,,,,,,,,,,
248,0,1,1,0,0,,,,,,,,,,,,,
249,1,1,1,,,,,,,,,,,,,,,
250,1,0,0,1,1,,,,,,,,,,,,,
251,1,1,1,,,,,,,,,,,,,,,
252,1,1,1,1,,,,,,,,,,,,,,
253,1,1,1,,,,,,,,,,,,,,,
254,0,1,1,,,,,,,,,,,,,,,
255,0,0,0,,,,,,,,,,,,,,,
256,1,1,,,,,,,,,,,,,,,,
257,1,1,1,1,,,,,,,,,,,,,,
258,1,0,0,1,0,,,,,,,,,,,,,
259,1,0,,,,,,,,,,,,,,,,
260,1,1,1,1,,,,,,,,,,,,,,
261,1,1,1,0,,,,,,,,,,,,,,
262,1,1,1,1,,,,,,,,,,,,,,
263,1,1,,,,,,,,,,,,,,,,
264,1,1,1,1,1,,,,,,,,,,,,,
265,1,1,0,0,1,,,,,,,,,,,,,
266,1,,,,,,,,,,,,,,,,,
267,1,,,,,,,,,,,,,,,,,
268,0,0,0,0,,,,,,,,,,,,,,
269,1,1,1,1,1,1,0,0,,,,,,,,,,
270,1,1,1,0,1,1,1,1,1,,,,,,,,,
271,0,1,0,0,1,,,,,,,,,,,,,
272,1,1,1,,,,,,,,,,,,,,,
273,1,1,1,,,,,,,,,,,,,,,
274,1,1,,,,,,,,,,,,,,,,
275,1,1,1,1,1,,,,,,,,,,,,,
276,1,0,,,,,,,,,,,,,,,,
