model,logml,Δlogml_vs_homo,log10_BF_vs_homo,BF_vs_homo
homo,-44411.79762325906,0.0,0.0,1.0
Dis2P,-44412.00463091748,-0.20700765842047986,-0.08990228376372762,0.8130134235650753
Z2P,-44417.3823630462,-5.584739787140279,-2.425421672420564,0.0037547266708281256
hetero3,-44417.822030319,-6.024407059943769,-2.6163667428725716,0.0024189854555896704
