model,logml,Δlogml_vs_homo,log10_BF_vs_homo,BF_vs_homo
hetero3,-57261.012038311834,4887.6637443826985,2122.6853935839918,inf
Dis2P,-57401.21868500293,4747.4570976916,2061.794420599889,inf
Z2P,-58910.74073580811,3237.9350468864213,1406.2173236239196,inf
homo,-62148.67578269453,0.0,0.0,1.0
